country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,colonizer,area,landlocked,continent,langoff_1,population,gdp_per_capita,life_expectancy,gni_atlas,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows,happiness
GEO,15107441447.0,8.54293333333334,7.399999867,NONE,69700,0,Asia,Georgian,3756441,4021.74330617286,71.773,13215697560.6618,9.13194158257682,17.9546052192616,61.2545812776947,140.9235456,1170087549.5,0.527
GHA,39337314810.0,8.72683683123394,14.04712363,GBR,238538,0,Africa,English,25387713,1549.46271883345,61.381,35138937517.1185,23.663704967184,23.8636600934779,72.7629736251465,190.2175968,3247588000.0,0.8
GIN,6785137173.0,21.3504664236733,5.612104279,FRA,245857,0,Africa,French,10420459,651.136113367479,57.387,7089756956.68709,16.069749632643,32.6143980733776,52.1581201660178,114.8774737,956060000.0,0.648
GRC,287797821676.0,3.3298640617472,-9.132494172,NONE,131621,0,Europe,Greek,11104899,25450.5341194438,80.7317073170732,272186673087.837,3.11375165365917,14.377117800521,35.5537488915781,89.8408118,1092191387.83039,0.471
GTM,47654783852.0,6.21412393067094,4.162048937,NONE,108889,0,America,Spanish,14521515,3228.0457411296,71.861,42189530753.3286,11.2587427520036,27.9436212267543,57.628496306513,258.2402996,876760590.0,0.851
HND,17710315006.0,6.76227957314765,3.835690662,NONE,112088,0,America,Spanish,8480670,2088.3155465311,73.569,15911357155.6639,14.2196558016976,25.8142160143128,107.863694087476,213.8256444,1042571020.7703,0.813
HRV,62537851352.0,2.27272727272727,-0.1983692635,NONE,56538,0,Europe,Serbo-Croatian,4280622,14609.5243524166,76.7756097560976,60080283859.0919,3.68296629648846,22.4199780007417,57.5667363387379,100.8375595,1248979435.63125,0.614
HTI,13008748132.0,6.33279483849046,6.154225158,NONE,27750,0,America,French,10100320,1287.95405805707,60.879,12467813133.3394,20.0431184952698,24.5925797826128,29.1111793515244,273.8508193,119000000.0,0.634
HUN,141759722464.0,3.92992098935075,1.937107794,NONE,93032,1,Europe,Hungarian,9971727,14216.1656114334,74.8585365853659,132081576026.664,4.00038229565524,25.1366480663597,151.490138572,97.81680877,10740966550.9834,0.635
IDN,892969107923.0,5.36,6.169784208,NLD,1933658,0,Asia,Indonesian,245115988,3643.04717619274,69.542,737717018641.036,13.5122870743946,43.9134234267133,42.6591465057498,134.2163952,20564938226.7185,0.859
IND,1823050405350.0,8.85836096636667,5.241344743,GBR,3287590,0,Asia,English,1250287939,1458.10406619626,67.13,1704431329269.92,17.1919735574898,30.1616797630696,42.0924840461063,89.99256996,36498654597.8589,0.667
IRL,237472361734.0,2.5571888318692,0.3434411125,NONE,70285,0,Europe,English,4580084,51886.5084852792,80.7463414634146,192137469166.104,1.21045539236455,24.6723848164374,80.938521827632,95.71018889,23699352432.596,0.895
IRN,580764902917.0,26.2933856738609,2.645717918,NONE,1648100,0,Asia,Persian,74634959,7781.40580096573,74.352,512572512670.496,5.44726700369876,47.9220542846223,33.3628976246081,184.2908369,4276718690.0,0.609
